random_rep,pair_id,source_idx,target_idx,patch_layer,matched_norm,base_prediction,patched_prediction,delta_wsr_predicted,direction_seed,base_source,elapsed_seconds
8,14,322,267,19,140.07018286936724,0.20774430399201,0.39077806791293035,0.18303376392092036,2815573081,live_unpatched_same_model,1.2334033999941312
8,15,65,148,19,124.16221683795429,0.0040545803889276,0.13402373849828142,0.12996915810935383,3828573876,live_unpatched_same_model,1.2434964000131004
9,1,368,13,19,100.27535664750594,0.3222584150282147,0.29304890278762225,-0.029209512240592428,2592571450,live_unpatched_same_model,1.2492469999706373
9,2,340,186,19,124.14250147738309,0.5517011289529234,0.5616647255015185,0.009963596548595022,3287285284,live_unpatched_same_model,1.235086600005161
9,3,135,70,19,133.86533456399275,-0.0451771379115059,0.16563145697023926,0.21080859488174516,4055563729,live_unpatched_same_model,1.2339671999798156
9,4,441,256,19,103.68385624866029,-0.0309425523201656,0.06472199533064747,0.09566454765081307,2148708348,live_unpatched_same_model,1.2493644000496715
9,5,84,407,19,103.17152579354456,0.0701096946469617,0.4656629443252719,0.3955532496783102,151426976,live_unpatched_same_model,1.2448673999751918
9,6,180,181,19,110.38806055107938,-0.0706881178551478,-0.3232291111605169,-0.2525409933053691,2390245477,live_unpatched_same_model,1.2344542000209913
9,7,442,166,19,108.47418947067077,-0.0374219266130395,0.2888048423151024,0.3262267689281419,2794666446,live_unpatched_same_model,1.247096600010991
9,8,353,336,19,109.08276948497313,0.2334113362848168,0.410896084796987,0.17748474851217022,20953572,live_unpatched_same_model,1.2483770999824628
9,9,121,471,19,136.23808812678564,0.1553593319424777,0.33718926605276645,0.18182993411028875,2521500709,live_unpatched_same_model,1.2357847999664955
9,10,145,125,19,85.2051251574838,-0.0414361952716543,-0.27481998845846056,-0.23338379318680627,1847893750,live_unpatched_same_model,1.2563601000001654
9,11,222,268,19,112.73324134162299,-0.0744144220976672,0.2032052912759844,0.2776197133736516,2117261573,live_unpatched_same_model,1.2415173999615945
9,12,217,403,19,117.51799281220073,0.356841227425656,0.40970687142731027,0.05286564400165428,1418933077,live_unpatched_same_model,1.2401609999942593
9,13,209,443,19,119.69797830784465,-0.0405956674567725,-0.0637976360578125,-0.02320196860104,711387937,live_unpatched_same_model,1.2395120000001043
9,14,322,267,19,140.07018286936724,0.20774430399201,0.23275234740935832,0.02500804341734833,4153826787,live_unpatched_same_model,1.2320689999614842
9,15,65,148,19,124.16221683795429,0.0040545803889276,0.27270385738574765,0.26864927699682006,1478912328,live_unpatched_same_model,1.2428356999880634
10,1,368,13,19,100.27535664750594,0.3222584150282147,0.05423761540623778,-0.2680207996219769,947298450,live_unpatched_same_model,1.2499498999677598
10,2,340,186,19,124.14250147738309,0.5517011289529234,0.4376330803213001,-0.11406804863162334,2523679102,live_unpatched_same_model,1.2341785000171512
10,3,135,70,19,133.86533456399275,-0.0451771379115059,0.21032584027273563,0.2555029781842415,2524967868,live_unpatched_same_model,1.2365702000097372
10,4,441,256,19,103.68385624866029,-0.0309425523201656,-0.1593360168624488,-0.1283934645422832,2584351961,live_unpatched_same_model,1.2485132000292651
10,5,84,407,19,103.17152579354456,0.0701096946469617,0.08652248256693301,0.016412787919971306,2383002385,live_unpatched_same_model,1.2433028999948874
10,6,180,181,19,110.38806055107938,-0.0706881178551478,0.0013931943276979236,0.07208131218284572,84588444,live_unpatched_same_model,1.2356781999696977
10,7,442,166,19,108.47418947067077,-0.0374219266130395,0.02620825898796661,0.06363018560100611,2180801058,live_unpatched_same_model,1.247571700019762
10,8,353,336,19,109.08276948497313,0.2334113362848168,0.21530114075376228,-0.01811019553105453,435843115,live_unpatched_same_model,1.2499971999786794
10,9,121,471,19,136.23808812678564,0.1553593319424777,0.24542379820406038,0.09006446626158268,3355014640,live_unpatched_same_model,1.235382099985145
10,10,145,125,19,85.2051251574838,-0.0414361952716543,-0.09821741002864555,-0.05678121475699125,1327884324,live_unpatched_same_model,1.2588527000043541
10,11,222,268,19,112.73324134162299,-0.0744144220976672,-0.011440311779817707,0.0629741103178495,3964440730,live_unpatched_same_model,1.2417443000013009
10,12,217,403,19,117.51799281220073,0.356841227425656,0.4716805902846366,0.11483936285898061,2611289632,live_unpatched_same_model,1.2412888000253588
10,13,209,443,19,119.69797830784465,-0.0405956674567725,-0.10546817540987491,-0.06487250795310241,3274405380,live_unpatched_same_model,1.239068299997598
10,14,322,267,19,140.07018286936724,0.20774430399201,0.40587189068779794,0.19812758669578795,1094141764,live_unpatched_same_model,1.2321636999840848
10,15,65,148,19,124.16221683795429,0.0040545803889276,0.008495425110946251,0.004440844722018652,3940649899,live_unpatched_same_model,1.2427075000014156
11,1,368,13,19,100.27535664750594,0.3222584150282147,0.3428642062732148,0.020605791245000116,1252977387,live_unpatched_same_model,1.2467210999457166
11,2,340,186,19,124.14250147738309,0.5517011289529234,0.5287116848152731,-0.02298944413765036,2088292294,live_unpatched_same_model,1.2337204999639653
11,3,135,70,19,133.86533456399275,-0.0451771379115059,-0.26976584729827435,-0.22458870938676845,2343921378,live_unpatched_same_model,1.2340893000364304
