token,members,corpus_count,r_ev,r_fd,delta,r_wsr_l12,r_wsr_l21
felt,felt,7,-0.2329277512950183,0.07200700551015163,-0.3049347568051699,-0.14726315446244598,-0.07233411129776536
possible,possible,7,-0.29838585207990875,-0.040004802459742944,-0.25838104962016584,-0.06376683495553671,0.029481461961942287
how,how,7,-0.33789536632907746,-0.11155324354669902,-0.22634212278237845,-0.032401943993043206,0.07031017806473795
always,always,7,-0.1300729425415473,-0.10108166228312086,-0.02899128025842644,-0.11384910081090868,-0.022163372279902595
repeat,repeat,7,0.25729438698897894,0.18660891009840963,0.07068547689056931,0.028732701476308783,-0.10912010146036422
realized,realized,7,0.13339878383657028,0.1193103694664121,0.014088414370158175,0.05995520800100449,-0.07565660559668122
new,new,7,-0.2591872826842434,0.1064786049482678,-0.3656658876325112,-0.14228584949160322,-0.11166943328083392
multiple,multiple,7,-0.2042477842150849,0.2618733145114411,-0.46612109872652596,-0.0926191444232077,-0.1067953718905389
better,better,7,-0.22554267041546763,-0.030710890714931306,-0.19483177970053633,-0.10360984746704006,-0.05272248697891374
mostly,mostly,7,-0.31905534159943855,-0.02867299087094803,-0.2903823507284905,-0.06893595524607064,-0.004329969834285037
ve,ve,6,-0.1630992519259572,0.07235365927665738,-0.23545291120261458,-0.11598808982712581,-0.08416610195384658
selection,selection,6,0.009796949653097888,0.17478106639720148,-0.1649841167441036,0.0765110374165371,-0.02378842295087144
half,half,6,-0.11197711135069392,0.262571409456642,-0.3745485208073359,-0.23809624912469624,-0.16283213537471447
randomly,randomly,6,-0.17806234587932543,0.14969624039609453,-0.32775858627542,-0.16972680265461734,-0.051421500626534
little,little,6,-0.2669830445633227,0.12742494346596472,-0.39440798802928745,-0.05887162700821517,-0.05619220127365197
ones,ones,6,-0.30482930273960873,0.10668812243440953,-0.41151742517401824,-0.1028864329831827,-0.06007104617643003
left,left,6,-0.20383530478784323,0.17845402562633025,-0.38228933041417346,-0.15955676513194295,-0.07165847952196935
value,value,6,-0.24016824279299157,0.11091337293343087,-0.35108161572642244,-0.08250011655504148,-0.06263809353527512
student,student,6,-0.20045932514826362,0.17375162606205913,-0.3742109512103228,-0.16921379030934605,-0.09578596510661391
beginning,beginning,6,0.16068225473718256,0.02355550955439143,0.13712674518279114,0.027730246530209817,-0.06409198149499801
else,else,6,0.2150553227410399,-0.08898221375663638,0.3040375364976763,0.046241840705328885,0.00959197920523695
three,three,6,-0.19684211672572782,0.35122950575340434,-0.5480716224791322,-0.1732010564917502,-0.17406685720200216
till,till,6,-0.1558934859712775,0.15339919111464162,-0.3092926770859191,-0.1423835643643604,-0.03738909653241393
Nope,Nope,6,-0.12233520921842099,-0.013343804643833293,-0.1089914045745877,0.007559360944127971,-0.011579886867402203
specific,specific,6,-0.31540734204278537,-0.08473879497947938,-0.23066854706330597,-0.06451843341457134,0.03404885825652125
off,off,6,-0.1778129459442987,0.22797333658050795,-0.40578628252480664,-0.15001287602548347,-0.13727830378557565
certain,certain,6,-0.2066669659033085,0.03197643918279028,-0.23864340508609877,-0.05988141420960717,0.023185850186482837
while,while,6,-0.17260271024209756,0.00020119052489332365,-0.17280390076699087,-0.11180583928647968,-0.02304458093927956
forth,forth,6,-0.1183007946673607,0.16541520943634963,-0.28371600410371034,-0.04711551705227041,-0.07176603150392746
into,into,6,-0.22497231675487625,0.22084985075715763,-0.44582216751203385,-0.10340199195733805,-0.052557391630988846
could,could,6,-0.23703694204244796,-0.1512041415655015,-0.08583280047694647,-0.09441829629203055,-0.0008316150658905022
might,might,6,-0.26831912869938146,-0.12908818310653924,-0.13923094559284221,-0.08289736317247423,0.011834610803025915
longer,longer,6,-0.0013829331940809573,-0.018340754446457892,0.016957821252376937,-0.14475418425938888,-0.09150643046870238
bit,bit,6,-0.29566282274471384,0.15456662359303866,-0.4502294463377525,-0.11571795342691031,-0.16033909065600957
hot,hot,5,-0.1753711240108412,0.18728277948438915,-0.36265390349523036,-0.15958135321886643,-0.12901565283285338
feel,feel,5,-0.2623545337237758,0.09614870201638565,-0.35850323574016146,-0.0986777723484641,-0.0804117943913501
couple,couple,5,0.0421032953901376,0.3622183049002192,-0.32011500951008165,-0.14819094828561374,-0.2064561409269153
whenever,whenever,5,0.06034389023142586,0.05935152809699465,0.0009923621344312128,-0.08916490908386678,0.00134990355312117
tended,tended,5,-0.09323268284188012,0.03734031987061376,-0.1305730027124939,-0.15856601672551154,-0.014450270534337294
lost,lost,5,-0.131081182093451,0.22713627590413185,-0.35821745799758287,-0.20851296289219262,-0.1253331568335262
