dimension,layer,token_id,token,corpus_count,filter_status,retained,mean_raw_logit,median_raw_logit,maximum_raw_logit,best_corpus_rank,median_corpus_rank,participants_top10,participants_top50,participants_top100
Evaluation,12,1584,na,1,frequency_below_5,False,-1.4233979791865157,0.24414932318568383,6.382333769694522,410,784.5,0,0,0
Evaluation,12,1593,through,4,frequency_below_5,False,10.855030121770762,13.424740804385573,20.105592891936954,10,67.0,1,150,327
Evaluation,12,1611,follow,5,retained,True,8.476481092073376,9.641126818656844,16.790874277117513,10,190.0,1,1,35
Evaluation,12,1612,look,6,retained,True,9.196121942035656,11.452646013217224,19.4488561783656,2,120.0,4,36,176
Evaluation,12,1618,value,6,retained,True,2.283103668322197,4.712658777054755,11.045420364372667,155,471.0,0,0,0
Evaluation,12,1625,count,2,frequency_below_5,False,-1.7803475372110287,-0.6346209217541263,5.141943914468361,426,822.5,0,0,0
Evaluation,12,1634,hand,4,frequency_below_5,False,5.382037993019022,8.294111198537486,12.876791389512405,68,261.5,0,0,3
Evaluation,12,1644,made,2,frequency_below_5,False,4.775181323417492,8.96768990431783,15.394387220567932,52,218.0,0,0,10
Evaluation,12,1653,again,23,retained,True,9.85168835454425,11.711149549070553,18.239752327748832,20,110.0,0,45,213
Evaluation,12,1665,not,7,non_content,False,-3.940351227624097,-2.0166082107986565,3.4773737089724612,409,945.5,0,0,0
Evaluation,12,1671,used,8,retained,True,8.369686774958227,10.28708994807002,16.77109492362126,14,164.5,0,5,64
Evaluation,12,1681,tem,1,frequency_below_5,False,-9.697788785218588,-5.63578652120418,0.049331984487184455,884,1090.0,0,0,0
Evaluation,12,1683,much,21,retained,True,7.975162801011067,9.72806725766512,14.924957133243275,37,182.0,0,1,36
Evaluation,12,1693,even,8,retained,True,12.634703702414969,15.660430558926652,22.77631321045189,1,31.0,45,323,379
Evaluation,12,1700,#,1,frequency_below_5,False,3.568607176598149,5.419828449116132,11.529031505551465,77,410.0,0,0,1
Evaluation,12,1702,part,3,frequency_below_5,False,2.49133795495719,5.789077411409549,11.710159122588022,194,399.5,0,0,0
Evaluation,12,1703,way,1,frequency_below_5,False,6.745872559788944,10.533022376744835,16.109749238228808,53,146.0,0,0,71
Evaluation,12,1704,So,2,frequency_below_5,False,-4.722840403527808,-1.866063216846438,3.9044548075945573,552,948.0,0,0,0
Evaluation,12,1706,down,4,frequency_below_5,False,7.033541488070226,10.29934281695953,15.54137367097424,48,162.0,0,1,80
Evaluation,12,1707,help,7,retained,True,5.215489130518215,6.554872752428674,11.408610343548695,79,353.0,0,0,1
Evaluation,12,1717,find,43,retained,True,1.825672381142834,4.394253466099652,11.341483668988438,71,503.0,0,0,1
Evaluation,12,1718,It,1,frequency_below_5,False,7.943863686187548,8.086331045153365,15.548814255395854,16,223.0,0,20,52
Evaluation,12,1720,pos,1,frequency_below_5,False,-2.626438670420234,-0.7472361685940553,3.5519439017969083,567,866.0,0,0,0
Evaluation,12,1721,does,1,frequency_below_5,False,2.8852123433525936,5.461256800081834,12.09608034874088,89,433.0,0,0,1
Evaluation,12,1723,my,2,frequency_below_5,False,-2.2787600133066044,1.7163277606558331,7.315837762185594,317,697.0,0,0,0
Evaluation,12,1742,think,19,retained,True,7.1270997159047695,9.4505177943151,17.673983905754433,27,201.0,0,6,58
Evaluation,12,1744,day,4,frequency_below_5,False,8.525207865914137,8.761055602268922,13.29528954796414,26,226.0,0,39,88
Evaluation,12,1758,number,8,retained,True,11.61480767855515,11.036883211107511,19.760050860037275,3,131.5,29,124,187
Evaluation,12,1767,many,12,retained,True,7.691313256270132,10.459304162967026,17.09618155411887,46,161.0,0,1,75
Evaluation,12,1794,before,13,retained,True,12.097737850779128,13.225522072721644,18.539846891467707,4,64.0,2,166,354
Evaluation,12,1809,same,73,retained,True,4.347429546903571,5.295069043247067,12.770731301670022,33,417.0,0,1,4
Evaluation,12,1811,back,1,frequency_below_5,False,0.6834567397128648,2.0695452096525004,8.04531242934673,233,655.0,0,0,0
Evaluation,12,1815,work,1,frequency_below_5,False,0.2950400370375276,0.9622684417902454,6.614794240530663,157,686.5,0,0,0
Evaluation,12,1833,right,12,retained,True,11.210083518934727,13.246440879032457,18.050136118028593,18,70.0,0,103,346
Evaluation,12,1853,each,15,retained,True,10.391526912455037,12.518548519481058,20.23351695295331,4,88.5,5,100,278
